geo_id,geo_type,acres,du_cty,du_cmps,prd_viol,foreclsr,asst_unts,avg_huval,sqft_val,avg_n_hval,sqft_n_val,avg_c_hval,sqft_c_val,yrblt_mdn,pc_nprf35,pc_nhsg,pc_nclgg,pc_hmbl,pc_frlu,cc_prvdrs,cc_cpcty,cc_enrlmt,medhhinc,pc_fmpv,pc_unem,crm_pers,crm_prop,crm_scty,ofns_pers,ofns_prop,ofns_scty,crash,prmry_ems,prmry_fire,pc_n_trst,trst_trps,pc_no_vhcl,avg_stcnd,gds_svcs,pc_nappr,pc_nvterm,hu,tot_pop,pc_un5,pc_un18,pc_ov64,pc_wht,pc_afrm,pc_asn,pc_hisp,pc_othm,hh,fam,pc_fmwc,pc_fhwc,pc_own
550250001001,Census Block Group,242.2,496,0,16,1,8,656408,276.29,657811,277.87,173492,170.51,1968,55,6.1,32.1,9.9,29.7,2,91,81,85625,0,1.6,1,7,4,3,8,19,22,48,46,32.46,673,3.1,4.7,B,-1,-1,521,1034,4.9,15,25.1,79.9,4,5.5,5.4,5.2,497,281,19.3,3,73.3
550250001002,Census Block Group,254.5,1058,0,7,0,29,516541,282.87,506292,317.2,158011,180.85,1957,42.86,0,48.04,1.4,44.2,5,171,149,86181,0,1,0,15,14,7,24,18,20,131,74,65.97,1183,9.3,5.2,"B,G",13.6,13.6,969,1716,4.1,13,14.3,74.8,4,8.2,8,5,917,386,15,2.9,49.8
550250002011,Census Block Group,263.8,717,0,9,0,6,419238,235.13,373684,224.86,154050,200.33,1961,36.36,0,15.29,1.6,14.1,8,332,242,94125,6.2,0,0,2,6,0,6,23,20,103,80,14.09,1704,3.3,6.8,"B,G",19.6,11.8,618,1314,5.8,18.6,24,83.7,2,4,4.6,5.7,597,373,19.9,2,82.7
550250002012,Census Block Group,190.7,424,0,2,0,0,450737,222.55,416679,234.34,-5,-5,1961,55.56,13,25.93,4.4,28.1,4,248,184,68194,5.6,0,2,6,2,5,14,12,7,257,87,57.08,707,6.8,6.8,"P,B",-1,-1,424,865,3.6,12.9,23.5,82.8,4.3,5,3.9,4,408,266,17.9,2.5,74.8
550250002021,Census Block Group,338.2,480,0,2,1,0,579581,191.59,571760,191.33,283552,212.2,1973,17.07,0,2.44,2,2.4,9,498,292,146181,0,0,1,6,0,1,6,5,10,81,34,76.67,299,1.5,6.7,B,-1,-1,484,1189,5.6,19.1,27.7,85.5,0.8,5.4,3.6,4.6,474,370,27,0.6,98.1
550250002022,Census Block Group,261.4,988,0,1,0,0,539909,187.13,568657,194.61,199329,158.3,1974,66.07,2.1,36.81,3.5,36,6,349,256,70833,2.2,0.8,14,51,27,38,72,38,22,488,150,85.32,241,3.7,7.6,"P,B",11.1,5.6,1009,1931,4.6,14.1,21.4,71.9,5.2,9.6,7.5,5.9,970,463,16.3,3.3,41.5
550250002041,Census Block Group,205,823,0,5,2,246,435321,180.05,395222,173.42,202500,149.01,1976,72.5,3.2,71.23,5.6,78.6,6,427,228,47744,10,6,5,34,59,25,52,85,25,438,88,92.47,540,13.7,6.6,"P,B",27.1,8.2,641,1520,11.1,29.3,22.7,56.1,25.4,7.4,6.1,5.1,620,452,36.8,18.4,61.1
550250002042,Census Block Group,275.1,723,0,1,0,0,505010,178.41,390760,177.77,238034,210.97,1985,48.57,0,19.8,0,28.7,3,204,20,102136,7.8,0.9,2,8,7,3,21,4,21,147,73,42.32,535,3.9,7.3,"P,B,G",-1,-1,720,1574,4.5,16.6,33.6,77,2.3,8.3,7.1,5.3,697,424,18.9,3.9,77.3
550250002043,Census Block Group,171.6,1257,0,4,2,96,388668,186.24,369268,202.53,217970,194.13,1992,60,1.2,34.57,6.2,33.3,1,51,0,72794,15.4,9.9,8,64,88,16,77,79,41,235,97,25.78,535,8.7,7.6,"P,B,G",27,11.1,1256,2342,8.4,20.8,8.4,47.8,9.5,29.6,9,4.1,1215,530,22.3,4.8,23.3
550250002051,Census Block Group,266.5,559,0,3,0,0,495325,192.44,438574,196.66,355781,223.18,1987,31.91,0,13.94,4,14.5,3,161,28,148750,0,0,0,5,4,3,14,6,8,72,26,60.29,299,0,6.6,"P,B",-1,-1,557,1432,5.9,20,22.5,81.1,1.7,8.3,4.5,4.4,546,444,29.1,2.4,90.1
550250002052,Census Block Group,171.1,763,0,0,0,0,493081,189.38,410013,185.25,302713,216.25,1996,40,0,7.41,0,13,3,204,20,69911,0,0,0,16,7,1,21,2,12,313,72,68.28,299,12,6.1,"P,B",-1,-1,910,1345,3.8,10.1,39.3,80.1,1.9,9.5,3.6,4.8,889,282,9.4,1.3,35.1
