"variable","name","definition","about","source"
"crm_pers","Reported Police Incidents: Person Related","Total count of incidents reported to MPD as person related offenses.","Persons related incidents include homicide, sexual assault, assault, robbery, and kidnapping/abduction incident types.  A police incident is any service request for an officer; it can be initiated by one or more calls to 911 or by an officer.  Incidents can include, but are not limited to, verified criminal offense; the latter are determined following MPD investigation.  Incidents that occurred in the Town of Madison prior to it being annexed by the City are excluded from City of Madison totals.  Except for the Madison citywide total, counts include only the successfully geocoded incidents.  Geocoded by MPD and APL.","2022 Incidents.  Madison Police Department, received 1/9/2023.  Geocoding match rate: 94%."
"crm_prop","Reported Police Incidents: Property Related","Total count of incidents reported to MPD as property related offenses.","Property related incidents include theft, burglary, and stolen automobile incident types from residential and non-residential locations.  A police incident is any service request for an officer; it can be initiated by one or more calls to 911 or by an officer.  Incidents can include, but are not limited to, verified criminal offense; the latter are determined following MPD investigation.  Incidents that occurred in the Town of Madison prior to it being annexed by the City are excluded from City of Madison totals.   Except for the Madison citywide total, counts include only the successfully geocoded incidents.  Geocoded by MPD and APL.","2022 Incidents.  Madison Police Department, received 1/9/2023.  Geocoding match rate: 98%."
"crm_scty","Reported Police Incidents: Society Related","Total count of incidents reported to MPD as society related offenses.","Society related incidents include narcotics, liquor law, gambling, weapons, and prostitution incident types. For the purpose of NI reporting, disturbance calls are also included in the society related incident summary.  A police incident is any service request for an officer; it can be initiated by one or more calls to 911 or by an officer.  Incidents can include, but are not limited to, verified criminal offense; the latter are determined following MPD investigation.  Incidents that occurred in the Town of Madison prior to it being annexed by the City are excluded from City of Madison totals.  Except for the Madison citywide total, counts include only the successfully geocoded incidents.  Geocoded by MPD and APL.","2022 Incidents.  Madison Police Department, received 1/9/2023.  Geocoding match rate: 89%."
"ofns_pers","Verified Criminal Offenses: Person Related     ","Total count of criminal offenses classified by MPD as person related crimes.","Persons related crimes include homicide, sexual assault, assault, robbery, and kidnapping/abduction offense types.  A criminal offense is different from an incident report in that MPD has investigated the report and concluded that it meets Department of Justice reporting requirements.  Except for the Madison citywide total, counts include only the successfully geocoded offenses.  Geocoded by MPD and APL.","2022 Offenses.  Madison Police Department, received 1/25/2022.  Geocoding match rate: 94%."
"ofns_prop","Verified Criminal Offenses: Property Related     ","Total count of criminal offenses classified by MPD as property related crimes.","Property related crimes include theft, burglary, and stolen automobile offense types from residential and non-residential locations.  A criminal offense is different from an incident report in that MPD has investigated the report and concluded that it meets Department of Justice reporting requirements.  Except for the Madison citywide total, counts include only the successfully geocoded offenses.  Geocoded by MPD and APL.","2022 Offenses.  Madison Police Department, received 1/25/2022.  Geocoding match rate: 97%."
"ofns_scty","Verified Criminal Offenses: Society Related     ","Total count of criminal offenses classified by MPD as society related crimes.","Society related crimes include narcotics, liquor law, gambling, weapons, and prostitution offense types.  A criminal offense is different from an incident report in that MPD has investigated the report and concluded that it meets Department of Justice reporting requirements.  Except for the Madison citywide total, counts include only the successfully geocoded offenses.  Geocoded by MPD and APL.","2022 Offenses.  Madison Police Department, received 1/25/2022.  Geocoding match rate: 80%."
"crash","Crashes","Total count of reported automobile crashes.","A reportable crash is defined as a crash resulting in injury or death of any person, any damage to government-owned non-vehicle property to an apparent extent of $200 or more, or total damage to property owned by any one person to an apparent extent of $1000 or more. It is important to note, however, that not all reportable crashes are reported. In order for a crash to be in the database, an MV4000 crash report must have been completed by a police officer.  This summary includes crashes that occurred in tabulation areas plus the area immediately adjacent to (within 250 feet) of the tabulation area boundaries.  Crashes that occurred in parking lots are excluded.  Except for highways 151 and 113, crashes that occurred on state and interstate highways are excluded.  Campus Drive and a portion of John Nolen Dr. that runs beneath Monona Terrace are also excluded.  Incident summaries are for the calendar year corresponding to the NI edition year. ","2022 DT4000 Crashes.  WI Department of Transportation and UW TOPS Lab, received 1/26/2023.  Geocoding match rate: 99%."
"prmry_ems","Calls for EMS Service","Total calls primarily for emergency medical service.","This summary includes service calls in tabulation areas plus any calls in the area immediately adjacent to (within 250 feet) of the tabulation area boundaries.  Incidents that occurred in the Town of Madison prior to it being annexed by the City are excluded from City of Madison totals. Except for the Madison citywide total, counts include only the successfully geocoded incidents. See source notes for geocoding match rates.  Geocoded by APL.","2022 Calls for service.  Madison Fire Department, received 1/13/2023.  Geocoding match rate: 97%."
"prmry_fire","Calls for Fire Service","Total calls primarily for fire service.","This summary includes service calls in tabulation areas plus any calls in the area immediately adjacent to (within 250 feet) of the tabulation area boundaries.  Incidents that occurred in the Town of Madison prior to in being annexed into the City are excluded from City of Madison totals. Except for the Madison citywide total, counts include only the successfully geocoded incidents. See source notes for geocoding match rates.  Geocoded by APL.","2022 Calls for service.  Madison Fire Department, received 1/13/2023.  Geocoding match rate: 96%."
"pc_nprf35","English Language Arts: Less than Proficient","Percent of grade 3-5 students not meeting proficiency benchmark.","Student test results for grades 3-5 are aggregated over 2 consecutive years.  Students who are English Language Learners can be provided a Spanish version, coupled with the English version, as is needed for support.  APL interpolation to tabulation area geography.","Madison Metropolitan School District, received 3/1/2023."
"pc_nhsg","Parent Education: Less than High School Diploma","Percent of MMSD students whose parent(s) have less than a HS Diploma/G.E.D.","Percent of MMSD students in households in which highest level of parent educational attainment was less than a High School Diploma or G.E.D.  Limited to students for whom data were available.  APL interpolation to tabulation geography.","Madison Metropolitan School District, received 3/1/2023."
"pc_nclgg","Parent Education: Less than Bachelor's Degree","Percent of MMSD students whose parent(s) have less than a Bachelor's Degree.","Percent of MMSD student households in which highest level of parent educational attainment was a bachelor's, graduate or professional degree.  Limited to students for whom data were available.  APL interpolation to tabulation geography.","Madison Metropolitan School District, received 3/1/2023."
"pc_hmbl","High Mobility Students","Percent of MMSD students with high between school transfer rates.","Percent of MMSD students that transferred 2 or more times between schools in the past 3 prior years.  APL interpolation to tabulation geography.","Madison Metropolitan School District, received 3/1/2023."
"pc_frlu","Economically Disadvantaged Students","Percent of MMSD students in households with low income.","Percent of Madison Metropolitan School District students identified as economically disadvantaged. Economically disadvantaged students include those whose household income was 185% or less of the Federal poverty guidelines.  APL interpolation to tabulation geography.","Madison Metropolitan School District, received 3/1/2023."
"pc_nvterm","Infant Health: Pre-Term Births","Percent of births (over a 3-year period) occurring at 36 weeks of gestation or earlier.","Figures for census tract and block group areas are limited to births that were successfully geocoded.  Data are suppressed for areas with with fewer than 50 births.  Rates may be unstable in areas with fewer than 100 births.   See source notes for geocoding match rates.","2019-2021 Births.  Public Health Madison and Dane County; Wisconsin Department of Health Services, received 3/6/2023.  Geocoding match rate: 99%."
"pc_nappr","Prenatal Care: Less than Adequate","Percent of births (over a 3-year period) with less than adequate prenatal care.","Adequate care determination is based on the Kotelchuck Index: Births that received prenatal care that began by the end of the 4th month of gestation and received 80% or more of the American College of Obstetricians and Gynecologists recommended visits.  Observed changes in adequate care may be due to non-response error in some years.  Figures for census tract and block group areas are limited to births that were successfully geocoded.  Data are shown for all areas with more than 50 births.  Rates may be unstable in areas with fewer than 100 births.  See source notes for geocoding match rates.","2019-2021 Births.  Public Health Madison and Dane County; Wisconsin Department of Health Services, received 3/6/2023.  Geocoding match rate: 99%."
"medhhinc","Median Household Income","Estimated median household income (5-year estimate).","Based on APL interpolation and summary of American Community Survey (ACS) block group estimates.  Comparisons of estimates from multi-year periods should ideally be based on non-overlapping periods (e.g. comparing estimates from 2007-2011 with estimates from 2012-2016).  Income data from previous 5-year estimates have not been inflation adjusted to current year dollars.  Estimates for geographies with small populations may be unreliable and are withheld in some instances.  See ACS table B19013 for margins of error. ","2017-2021 5-Year ACS."
"pc_fmpv","Families in Poverty","Estimated percent of families in poverty (5-year estimate).","Based on APL interpolation and summary of American Community Survey (ACS) block group estimates.  The Census Bureau defines a family as two or more people who reside together and who are related by birth, marriage, or adoption.  Comparisons of estimates from multi-year periods should ideally be based on non-overlapping periods (e.g. comparing estimates from 2007-2011 with estimates from 2012-2016).  Estimates for geographies with small populations may be unreliable and are withheld in some instances.  See ACS table B17010 for margins of error.","2017-2021 5-Year ACS."
"pc_unem","Unemployment","Estimated percent of civilian labor force that is unemployed (5-year estimate).","Based on APL interpolation and summary of American Community Survey (ACS) block group estimates.  Comparisons of estimates from multi-year periods should ideally be based on non-overlapping periods (e.g. comparing estimates from 2007-2011 with estimates from 2012-2016).  Estimates for geographies with small populations may be unreliable and are withheld in some instances.   See ACS table B23025 for margins of error. ","2017-2021 5-Year ACS."
