"geo_id","geo_type","hu","pc_own","tot_pop","pc_un5","pc_un18","pc_ov64","pc_wht","pc_afrm","pc_asn","pc_othm","pc_hisp","hh","fam","pc_fmwc","pc_fhwc","acres","du_cty","du_cmps","prd_viol","foreclsr","asst_unts","avg_huval","sqft_val","avg_n_hval","sqft_n_val","avg_c_hval","sqft_c_val","yrblt_mdn","mdn_rent","qol_cfs","ofns_pers","ofns_prop","ofns_scty","crash","prmry_ems","prmry_fire","pc_nvterm","pc_nappr","pc_nprf35","pc_nhsg","pc_nclgg","pc_hmbl","pc_frlu","pc_lep_hh","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","pc_fmpv","pc_unem","gds_svcs","pc_n_trst","trst_trps","pc_no_vhcl","pc_alt_trn","avg_stcnd"
"550250002022","Census block group","1009","41.5","1931","4.6","14.1","21.4","71.9","5.2","9.6","5.9","7.5","970","463","16.3","3.3","261.4","988","0","4","-5","0","574949","198.8","545775","198.31","220353","175","-5","1607","65","21","28","41","21","237","129","-1","-1","51.9","2.1","33.1","2.9","37.6","1.6","5","318","152","93929","8.6","2.2","P,B","49.7","1741","5","18.3","7.3"
"550250002041","Census block group","641","61.1","1520","11.1","29.3","22.7","56.1","25.4","7.4","5.1","6.1","620","452","36.8","18.4","205","823","0","2","-5","246","455302","188.35","418376","182.09","230293","169.46","-5","373","95","37","43","96","27","568","131","9.5","14.9","61.9","4.9","65","6.6","67.8","0","6","413","232","34792","30.5","15","P,B,G","27.8","2248","19.5","39","6.8"
"550250002042","Census block group","720","77.3","1574","4.5","16.6","33.6","77","2.3","8.3","5.3","7.1","697","424","18.9","3.9","275.1","723","0","5","-5","0","527667","186.46","404552","182.4","269422","225.53","-5","1496","12","5","12","7","22","131","74","-1","-1","41.9","4.2","21.7","3","29.2","4","4","295","80","115553","7.9","0","P,B,G","21.9","1995","0","9","7.1"
"550250002043","Census block group","1256","23.3","2342","8.4","20.8","8.4","47.8","9.5","29.6","4.1","9","1215","530","22.3","4.8","171.6","1301","0","7","-5","96","410416","195.33","384444","214.81","240154","213.89","-5","1237","66","16","56","62","30","234","140","11.1","14.8","45.8","3.5","40.4","4.2","45.3","7.5","2","142","0","80625","3.7","2.5","P,B,G","4.2","1104","7.2","23.6","7.1"
"550250002051","Census block group","554","90.3","1425","5.9","20.1","22.5","81.2","1.7","8.3","4.4","4.5","543","442","29.1","2.3","265.4","559","0","5","-5","0","530977","205.94","468294","210.66","396147","248.5","-5","-5","4","4","4","8","11","62","32","-1","-1","33.3",".6","12.2","2.4","13.8","0","3","161","80","162847","0","0","P,B","58.5","507","0","9.5","6.8"
"550250002052","Census block group","910","35.1","1345","3.8","10.1","39.3","80.2","1.9","9.5","4.8","3.6","889","282","9.4","1.3","171.1","763","0","1","-5","0","527888","202.75","438706","198.22","333749","238.42","-5","1379","11","1","17","2","7","266","91","-1","-1","16.7","0","7.8","2.7","11.8","0","2","153","80","71429","3.7","3.1","P,B","68.8","254","6.5","29","6.2"
"550250002054","Census block group","835","83.3","1701","4.5","14.6","32.1","81.9","2","6.9","5.2","4","808","482","15.5","1.1","422","839","0","13","-5","1","721375","227.65","636762","228.5","352599","254.24","-5","1409","5","0","16","8","13","110","63","-1","-1","28.6","0","19.8","12.7","18.1","0","7","220","144","113304","0","0","B,G","41.5","507","0","4","6.4"
"550250003011","Census block group","1075",".3","1458","1.9","4.8","10.2","47.3","1.9","43.1","3","4.6","986","158","5.9",".8","86.4","1363","0","2","-5","0","-5","-5","-5","-5","-5","-5","-5","1155","14","0","21","4","12","153","115","-1","-1","-1","0","15.4","-1","53.8","11.8","3","66","40","31623","21.9","8","P,B,G","0","2305","21.1","43.8","6.7"
"550250003012","Census block group","780","17.6","1148","3.7","8.7","22.4","64.8","6.1","21.4","2.9","4.9","724","242","13.2","4.4","83.1","852","0","2","-5","95","-5","-5","-5","-5","533426","365.07","-5","1265","43","10","159","64","25","281","199","-1","-1","42.1","1.6","22.2","6.4","44.6","5.4","2","38","2","51875","11.3","0","P,B,G","2.3","2693","22.4","51.5","5.8"
"550250003013","Census block group","658","10.6","1111","3.6","10.7","15.6","46.1","5.9","36.6","4.8","6.6","603","151","7.6","1.8","59.7","659","0","1","-5","5","559467","248.32","729433","211.82","-5","-5","-5","1210","22","3","15","12","11","54","56","-1","-1","35.7","1.7","33.9","7.4","35","2.2","4","84","40","56029","28.2","0","B,G","3.5","2305","7.7","32.6","6.7"
