"variable","name","definition","about","source"
"hu","Housing Units","Estimated of Housing Units.","Because these figures are derived from decennial census data, they do not capture year-to-year changes in population between Censuses or since the last Census. The Census Bureau defines a housing unit as a house, an apartment, a mobile home or trailer, a group of rooms, or a single room occupied as separate living quarters, or if vacant, intended for occupancy as separate living quarters. ","Census 2020, 2010, and 2000 block data."
"pc_own","Owner Occupied Homes","Estimated percent of occupied housing units that are owner occupied.","Because these figures are derived from decennial census data, they do not capture year-to-year changes in population between Censuses or since the last Census.","Census 2020, 2010, and 2000 block data."
"tot_pop","Total Population","Estimated total population.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census.","Census 2020, 2010, and 2000 block data."
"pc_un5","Young Children: Age 0 to 4","Estimated percent of persons age four and under.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census.","Census 2020, 2010, and 2000 block data."
"pc_un18","Youth Population: Age 0 to 17","Estimated percent of persons age 17 and under.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census.","Census 2020, 2010, and 2000 block data."
"pc_ov64","Senior Population: Age 65 and Over","Estimated percent of persons age 65 and over.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census.","Census 2020, 2010, and 2000 block data."
"pc_wht","White","Estimated percent of persons in the Non-Hispanic White alone race category.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census. White alone population shown for non-Hispanics only; Hispanic population of all races shown separately. In 2020, the Census Bureau made improvements to how they collected and processed data on race and ethnicity.  Some of the demographic changes reported over time are due to these methodological changes, particularly among people in the Other or Multiracial categories.","Census 2020, 2010, and 2000 block data."
"pc_afrm","Black or African American","Estimated percent of persons in the Non-Hispanic Black or African American alone race category.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census. Black or African American alone population shown for non-Hispanics only; Hispanic population of all races shown separately.  In 2020, the Census Bureau made improvements to how they collected and processed data on race and ethnicity.  Some of the demographic changes reported over time are due to these methodological changes, particularly among people in the Other or Multiracial categories.","Census 2020, 2010, and 2000 block data."
"pc_asn","Asian","Estimated percent of persons in the Non-Hispanic Asian alone race category.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census. Asian alone population shown for non-Hispanics only; Hispanic population of all races shown separately. In 2020, the Census Bureau made improvements to how they collected and processed data on race and ethnicity.  Some of the demographic changes reported over time are due to these methodological changes, particularly among people in the Other or Multiracial categories.","Census 2020, 2010, and 2000 block data."
"pc_othm","Other Races or Multiracial","Estimated percent of persons in the Non-Hispanic American Indian alone, Pacific Islander alone, Other Race alone or Two or More Races categories.","Because these figures are derived from Decennial Census data, they do not capture year-to-year changes in population between Censuses or since the last Census. Other Race or Multiracial population shown for non-Hispanics only; Hispanic population of all races shown separately. In 2020, the Census Bureau made improvements to how they collected and processed data on race and ethnicity.  Some of the demographic changes reported over time are due to these methodological changes, particularly among people in the Other or Multiracial categories.","Census 2020, 2010, and 2000 block data."
